STATISTIC,Statistic Label,TLIST(A1),Year,C04313V05092,Type of Expenditure on Education,UNIT,VALUE
CEPHA18C01,Government Expenditure on Education,1936,1936,330,Total Gross Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,340,Total Appropropriations in Aid,£,
CEPHA18C01,Government Expenditure on Education,1936,1936,350,Total Net Expenditure,£,
CEPHA18C01,Government Expenditure on Education,1937,1937,100,Administration,£,160758
CEPHA18C01,Government Expenditure on Education,1937,1937,110,Teacher Training - Primary Education,£,98972
CEPHA18C01,Government Expenditure on Education,1937,1937,120,Teacher Salary - Primary Education,£,3128870
CEPHA18C01,Government Expenditure on Education,1937,1937,130,Teacher Pension - Primary Education,£,373368
CEPHA18C01,Government Expenditure on Education,1937,1937,135,Teacher Pension (Grants in Aid) - Primary Education,£,
CEPHA18C01,Government Expenditure on Education,1937,1937,140,Miscellaneous - Primary Education,£,47252
CEPHA18C01,Government Expenditure on Education,1937,1937,150,Appropriations in Aid (deduct) - Primary Education,£,88491
CEPHA18C01,Government Expenditure on Education,1937,1937,160,Total Primary Education,£,3559971
CEPHA18C01,Government Expenditure on Education,1937,1937,170,Total Secondary Education,£,451677
